,SEXO,RAZA,TAMAÑO,CARACTER,NOMBRE,PROTECTORA,LINK,FOTO,AÑOS
36,hembra,mestizo,mediano,tímida,Tatanka,1,https://elrefugio.org/ficha/tatanka,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Tatankaweb.jpg,8
37,macho,mestizo,grande,afable,Hadif,1,https://elrefugio.org/ficha/hadif,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Adif.jpg,9
38,macho,mestizo,mediano,activo,Axel,1,https://elrefugio.org/ficha/axel,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Axelweb_1.jpg,1
39,hembra,cruce podenco,grande,tímido,Balea,1,https://elrefugio.org/ficha/balea,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Baleaweb_2.jpg,11
40,macho,mestizo,grande,sociable,Macauli,1,https://elrefugio.org/ficha/macauli,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Macauliweb.jpg,6
41,macho,mestizo,grande,tranquilo,Bilbo,1,https://elrefugio.org/ficha/bilbo,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Bilboweb.jpg,4
42,macho,mestizo,mediano,tímido,Kristian,1,https://elrefugio.org/ficha/kristian,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Kristian.jpg,10
43,macho,galgo,grande,cariñoso,Coleman,1,https://elrefugio.org/ficha/coleman,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Colemanweb.jpg,2
44,macho,setter inglés,mediano,tímido,Soni,1,https://elrefugio.org/ficha/soni,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Sonyweb.jpg,8
45,macho,am. stafford,grande,tranquilo,Miller,1,https://elrefugio.org/ficha/miller,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-MillerwebKiller.jpg,8
46,macho,mestizo,muy grande,cariñoso,Scooby-doo,1,https://elrefugio.org/ficha/scooby,https://elrefugio.org/contenido/animales/thumbsFicha/El-Refugio-Scooby-Dooweb.jpg,0
